PolyA reads from egfp_a60_60.pod5 with Phred Quality score >= 7
read_id	start	end
01587040-5794-4be9-b983-f2e0ed46ecb9	2428	3957
0339b9fe-bc61-41f9-8b4f-93da0eb3a9bf	2914	4699
00311e36-6a8e-4d0a-88c5-224f85f7920e	3220	4985
006bbcce-5082-40b7-9bb1-dbeef6911ce7	2466	4099
0a92518f-fb17-48f9-a685-af6b00f79b06	2308	4170
24f9192d-58b4-4c03-86ea-609e57506492	2555	4074
24fb45e6-4004-4e19-9cf8-f369ed600dec	2435	4066
0b381a19-ffe3-4fbc-94f0-96b580a322fa	3081	9477
000b339e-ecc3-4d10-8176-aceb206342dd	3178	4183
008ddcaa-d663-489a-9898-7708a7c75475	2761	4511
01d43361-d94c-4499-a3ca-172aace170af	4478	5614
02af1c38-249e-405b-a5a1-4faeff85cecb	3584	4815
02de4877-2414-4640-9700-091d0501a850	2802	4525
011d63b2-dc59-4ced-9b88-2f90a677c0eb	2643	4564
0330111e-594e-4ecf-abb7-d61cc2eef885	2558	4043
01b94edd-2bce-4dbd-896d-8a4c4a63d7c1	3364	4313
036911e6-fd38-4044-b2ed-61c1df47e390	2602	4232
037f3237-d2ac-486f-bfae-bdab3c2319cd	3240	4672
25dd3327-0a97-4aa5-a7b4-263826e89980	2328	3897
046b5499-c99e-4f46-b0be-2497ffa7a4d1	3171	4442
04409574-0cc2-44b5-9f67-c92a8192aed4	2940	4536
024dc0aa-4bc5-477b-bfe2-2a1ebea45cba	3017	4701
0371c873-d640-4e70-9788-2d812008f7c0	3525	5891
01c6632b-3d73-433c-99cb-fe59b997e607	3043	6882
021de6d6-b2e2-46d7-93c2-7dec0077e803	4031	6197
00e3238f-2d60-40c5-b826-ac684425922a	2569	4537
004a622b-4a80-49e0-bd2f-bef6a2d08f94	2940	4645
011c039c-64d3-4b46-9c00-d67133e765ae	2737	4282
021568ac-1d75-4774-9aad-5340ab65229d	2475	4266
0160b718-df9f-4599-bb83-b50e0c2aa32e	2561	3733
0414ab35-b820-4e0d-bf4a-142abaf73219	2837	4441
032818a1-3740-41cf-a86d-2705039d8bfd	3143	5138
039b010e-8efe-44ba-a962-c46bd3a641d3	2958	4635
0196dc4c-c732-47fd-990d-e4fce2187209	2707	4067
0192aafd-4d92-4aa1-9a70-7e38842763bc	2775	4485
0479e8bf-0f2f-4f4b-8f38-6f00db801790	3922	5459
01bebb2f-f7ff-40a4-aece-a1d47c6a0ea2	1763	4177
21b5362a-ea40-4cc7-a499-70724d7b7467	2802	4598
0059ca0c-1318-4a48-a877-e6667122e433	2225	6537
1ebf094a-ec84-4abf-8607-6aee3d3714cc	4006	7463
2f89d8e6-f77f-49b9-b016-c7bdd711b4c7	17051	33144
05f82272-9807-4d0a-b7c1-e6c019780071	3135	4837
071502ab-6536-415b-a5b2-0916b5232135	3014	4471
097ba831-bbde-454d-b95b-d584ce4a7424	1999	2992
